,lon,lat,number_intersections
0,-95.3197,29.672427000000003,1
1,-95.322203,29.672427000000003,1
2,-95.32470500000001,29.672427000000003,1
3,-95.327208,29.672427000000003,1
4,-95.32970999999999,29.672427000000003,1
5,-95.332213,29.672427000000003,1
6,-95.334715,29.672427000000003,1
7,-95.33721800000001,29.672427000000003,1
8,-95.339721,29.672427000000003,1
9,-95.342223,29.672427000000003,1
10,-95.344726,29.672427000000003,1
11,-95.347228,29.672427000000003,1
12,-95.349731,29.672427000000003,1
13,-95.352234,29.672427000000003,1
14,-95.354736,29.672427000000003,1
15,-95.357239,29.672427000000003,1
16,-95.359741,29.672427000000003,1
17,-95.36224399999999,29.672427000000003,1
18,-95.364746,29.672427000000003,1
19,-95.367249,29.672427000000003,1
20,-95.3197,29.675182,1
21,-95.322203,29.675182,1
22,-95.32470500000001,29.675182,1
23,-95.327208,29.675182,1
24,-95.32970999999999,29.675182,1
25,-95.332213,29.675182,1
26,-95.334715,29.675182,1
27,-95.33721800000001,29.675182,1
28,-95.339721,29.675182,1
29,-95.342223,29.675182,1
30,-95.344726,29.675182,1
31,-95.347228,29.675182,1
32,-95.349731,29.675182,1
33,-95.352234,29.675182,1
34,-95.354736,29.675182,1
35,-95.357239,29.675182,1
36,-95.359741,29.675182,1
37,-95.36224399999999,29.675182,1
38,-95.364746,29.675182,1
39,-95.367249,29.675182,1
40,-95.3197,29.677936,1
41,-95.322203,29.677936,1
42,-95.32470500000001,29.677936,1
43,-95.327208,29.677936,1
44,-95.32970999999999,29.677936,1
45,-95.332213,29.677936,1
46,-95.334715,29.677936,1
47,-95.33721800000001,29.677936,1
48,-95.339721,29.677936,1
49,-95.342223,29.677936,1
50,-95.344726,29.677936,1
51,-95.347228,29.677936,1
52,-95.349731,29.677936,1
53,-95.352234,29.677936,1
54,-95.354736,29.677936,1
55,-95.357239,29.677936,1
56,-95.359741,29.677936,1
57,-95.36224399999999,29.677936,1
58,-95.364746,29.677936,1
59,-95.367249,29.677936,1
60,-95.3197,29.680690999999996,1
61,-95.322203,29.680690999999996,1
62,-95.32470500000001,29.680690999999996,1
63,-95.327208,29.680690999999996,1
64,-95.32970999999999,29.680690999999996,1
65,-95.332213,29.680690999999996,1
66,-95.334715,29.680690999999996,1
67,-95.33721800000001,29.680690999999996,1
68,-95.339721,29.680690999999996,1
69,-95.342223,29.680690999999996,1
70,-95.344726,29.680690999999996,1
71,-95.347228,29.680690999999996,1
72,-95.349731,29.680690999999996,1
73,-95.352234,29.680690999999996,1
74,-95.354736,29.680690999999996,1
75,-95.357239,29.680690999999996,1
76,-95.359741,29.680690999999996,1
77,-95.36224399999999,29.680690999999996,1
78,-95.364746,29.680690999999996,1
79,-95.367249,29.680690999999996,1
80,-95.3197,29.683445000000003,1
81,-95.322203,29.683445000000003,1
82,-95.32470500000001,29.683445000000003,1
83,-95.327208,29.683445000000003,1
84,-95.32970999999999,29.683445000000003,1
85,-95.332213,29.683445000000003,1
86,-95.334715,29.683445000000003,1
87,-95.33721800000001,29.683445000000003,1
88,-95.339721,29.683445000000003,1
89,-95.342223,29.683445000000003,1
90,-95.344726,29.683445000000003,1
91,-95.347228,29.683445000000003,1
92,-95.349731,29.683445000000003,1
93,-95.352234,29.683445000000003,1
94,-95.354736,29.683445000000003,1
95,-95.357239,29.683445000000003,1
96,-95.359741,29.683445000000003,1
97,-95.36224399999999,29.683445000000003,1
98,-95.364746,29.683445000000003,1
99,-95.367249,29.683445000000003,1
100,-95.3197,29.6862,1
101,-95.322203,29.6862,1
102,-95.32470500000001,29.6862,1
103,-95.327208,29.6862,1
104,-95.32970999999999,29.6862,1
105,-95.332213,29.6862,1
106,-95.334715,29.6862,1
107,-95.33721800000001,29.6862,1
108,-95.339721,29.6862,1
109,-95.342223,29.6862,1
110,-95.344726,29.6862,1
111,-95.347228,29.6862,1
112,-95.349731,29.6862,1
113,-95.352234,29.6862,1
114,-95.354736,29.6862,1
115,-95.357239,29.6862,1
116,-95.359741,29.6862,1
117,-95.36224399999999,29.6862,1
118,-95.364746,29.6862,1
119,-95.367249,29.6862,1
120,-95.48637099999999,29.75058,1
121,-95.488869,29.75058,1
122,-95.49136700000001,29.75058,1
123,-95.493865,29.75058,1
124,-95.496363,29.75058,1
125,-95.498861,29.75058,1
126,-95.501359,29.75058,1
127,-95.503857,29.75058,1
128,-95.506354,29.75058,1
129,-95.508852,29.75058,1
130,-95.51135,29.75058,1
131,-95.513848,29.75058,1
132,-95.516346,29.75058,1
133,-95.518844,29.75058,1
134,-95.521342,29.75058,1
135,-95.52384,29.75058,1
136,-95.526338,29.75058,1
137,-95.48637099999999,29.753146,1
138,-95.488869,29.753146,1
139,-95.49136700000001,29.753146,1
140,-95.493865,29.753146,1
141,-95.496363,29.753146,1
142,-95.498861,29.753146,1
143,-95.501359,29.753146,1
144,-95.503857,29.753146,1
145,-95.506354,29.753146,1
146,-95.508852,29.753146,1
147,-95.51135,29.753146,1
148,-95.513848,29.753146,1
149,-95.516346,29.753146,1
150,-95.518844,29.753146,1
151,-95.521342,29.753146,1
152,-95.52384,29.753146,1
153,-95.526338,29.753146,1
154,-95.48637099999999,29.755712,1
155,-95.488869,29.755712,1
156,-95.49136700000001,29.755712,1
157,-95.493865,29.755712,1
158,-95.496363,29.755712,1
159,-95.498861,29.755712,1
160,-95.501359,29.755712,1
161,-95.503857,29.755712,1
162,-95.506354,29.755712,1
163,-95.508852,29.755712,1
164,-95.51135,29.755712,1
165,-95.513848,29.755712,1
166,-95.516346,29.755712,1
167,-95.518844,29.755712,1
168,-95.521342,29.755712,1
169,-95.52384,29.755712,1
170,-95.526338,29.755712,1
171,-95.48637099999999,29.758277000000003,1
172,-95.488869,29.758277000000003,1
173,-95.49136700000001,29.758277000000003,1
174,-95.493865,29.758277000000003,1
175,-95.496363,29.758277000000003,1
176,-95.498861,29.758277000000003,1
177,-95.501359,29.758277000000003,1
178,-95.503857,29.758277000000003,1
179,-95.506354,29.758277000000003,1
180,-95.508852,29.758277000000003,1
181,-95.51135,29.758277000000003,1
182,-95.513848,29.758277000000003,1
183,-95.516346,29.758277000000003,1
184,-95.518844,29.758277000000003,1
185,-95.521342,29.758277000000003,1
186,-95.52384,29.758277000000003,1
187,-95.526338,29.758277000000003,1
188,-95.48637099999999,29.760842999999998,1
189,-95.488869,29.760842999999998,1
190,-95.49136700000001,29.760842999999998,1
191,-95.493865,29.760842999999998,1
192,-95.496363,29.760842999999998,1
193,-95.498861,29.760842999999998,1
194,-95.501359,29.760842999999998,1
195,-95.503857,29.760842999999998,1
196,-95.506354,29.760842999999998,1
197,-95.508852,29.760842999999998,1
198,-95.51135,29.760842999999998,1
199,-95.513848,29.760842999999998,1
200,-95.516346,29.760842999999998,1
201,-95.518844,29.760842999999998,1
202,-95.521342,29.760842999999998,1
203,-95.52384,29.760842999999998,1
204,-95.526338,29.760842999999998,1
205,-95.48637099999999,29.763409000000003,1
206,-95.488869,29.763409000000003,1
207,-95.49136700000001,29.763409000000003,1
208,-95.493865,29.763409000000003,1
209,-95.496363,29.763409000000003,1
210,-95.498861,29.763409000000003,1
211,-95.501359,29.763409000000003,1
212,-95.503857,29.763409000000003,1
213,-95.506354,29.763409000000003,1
214,-95.508852,29.763409000000003,1
215,-95.51135,29.763409000000003,1
216,-95.513848,29.763409000000003,1
217,-95.516346,29.763409000000003,1
218,-95.518844,29.763409000000003,1
219,-95.521342,29.763409000000003,1
220,-95.52384,29.763409000000003,1
221,-95.526338,29.763409000000003,1
