,Latitude,Longitude
0,29.7163768,-95.4020050
1,29.7170808,-95.4002260
2,29.7191348,-95.4002400
3,29.7313653,-95.4744573
4,29.6780838,-95.4768001
5,29.6807403,-95.4621928
6,29.6805096,-95.4621623
7,29.6892644,-95.4674577
8,29.7619390,-95.4062310
9,29.7618777,-95.4084385
10,29.7614563,-95.4083473
11,29.7654350,-95.4573010
12,29.7655670,-95.4403770
13,29.7611370,-95.4213200
14,29.7639921,-95.4303083
15,29.7622160,-95.4087910
16,29.7642895,-95.4301673
17,29.6891780,-95.4757710
18,29.6778040,-95.4771580
19,29.6786580,-95.4736760
20,29.6797540,-95.4674780
21,29.6793690,-95.4696000
22,29.6794020,-95.4681508
23,29.6761078,-95.4830519
24,29.6822258,-95.4594632
25,29.6584910,-95.4641550
26,29.6828360,-95.4582270
27,29.7611900,-95.4187560
28,29.7636320,-95.4259080
29,29.7629990,-95.4244110
30,29.6773667,-95.4933736
31,29.6871630,-95.4402490
32,29.7181050,-95.4471580
33,29.7148450,-95.4535440
34,29.7164360,-95.4509180
35,29.7314741,-95.4685285
36,29.7401560,-95.4668110
37,29.7339290,-95.4185800
38,29.7341710,-95.4243300
39,29.7340870,-95.4153470
40,29.7341150,-95.4132980
41,29.7342930,-95.4125880
42,29.6878040,-95.4926260
43,29.6878880,-95.4923330
44,29.6790360,-95.4930600
45,29.6786610,-95.4926260
46,29.6774140,-95.4933650
47,29.7624099,-95.4093638
48,29.6795890,-95.4764190
49,29.6916756,-95.4679139
50,29.7426180,-95.4136320
51,29.7467983,-95.4109356
52,29.6972959,-95.4237418
53,29.6907392,-95.4355683
54,29.6978890,-95.4120960
55,29.6935095,-95.4676583
56,29.7173696,-95.3982856
57,29.7168997,-95.4006820
58,29.7416310,-95.4419610
59,29.7343690,-95.4068750
60,29.7221400,-95.4397120
61,29.7151879,-95.4048662
62,29.6990500,-95.4844800
63,29.6993060,-95.4847240
64,29.6994190,-95.4843190
65,29.7038820,-95.4847810
66,29.7060970,-95.4425140
67,29.7567072,-95.3678057
68,29.7572040,-95.3670309
69,29.7469364,-95.3668017
70,29.7484748,-95.3693666
71,29.7490051,-95.3702291
72,29.7495764,-95.3711965
73,29.7500561,-95.3719824
74,29.7522196,-95.3713588
75,29.7529810,-95.3707432
76,29.7529770,-95.3707373
77,29.7537288,-95.3701589
78,29.7544917,-95.3695487
79,29.7552296,-95.3689674
80,29.7482430,-95.4187120
81,29.6854061,-95.4496975
82,29.6870477,-95.4466988
83,29.6886916,-95.4443304
84,29.7251600,-95.4184750
85,29.6890384,-95.4651304
86,29.6890710,-95.4619735
87,29.6412140,-95.3558250
88,29.6338790,-95.3556130
89,29.6913300,-95.4399160
90,29.6917870,-95.4397690
91,29.6786450,-95.4982670
92,29.6775912,-95.4787072
93,29.7247421,-95.3394785
94,29.7266006,-95.3445366
95,29.7249091,-95.3415438
96,29.7227308,-95.3384041
97,29.7206707,-95.3385341
98,29.7255774,-95.3436877
99,29.7502644,-95.3717631
100,29.7056120,-95.4925434
101,29.7206773,-95.4014108
102,29.7388037,-95.3956615
103,29.7387985,-95.3974386
104,29.7388186,-95.3936656
105,29.7061142,-95.4035517
106,29.7058684,-95.4050779
107,29.7061049,-95.4062339
108,29.7060618,-95.4081088
109,29.7055788,-95.4079891
110,29.7051200,-95.4075515
111,29.7043330,-95.4070858
112,29.7034765,-95.4055211
113,29.6756418,-95.4866021
114,29.7152644,-95.3961610
115,29.7124553,-95.3933130
116,29.7119535,-95.3934319
117,29.7305795,-95.3909627
118,29.7310588,-95.3911971
119,29.7294497,-95.3911939
120,29.7278504,-95.3911581
121,29.7354405,-95.3912539
122,29.7346323,-95.3912753
123,29.7343971,-95.3915838
124,29.7342177,-95.3910152
125,29.7344273,-95.3899745
126,29.7514223,-95.3632580
127,29.7510801,-95.3642155
128,29.7519702,-95.3641281
129,29.7578357,-95.3790713
130,29.6561162,-95.5105528
131,29.6558623,-95.5110945
132,29.6554784,-95.5206580
133,29.7204082,-95.4020864
134,29.7446205,-95.3870726
135,29.7173034,-95.3281715
136,29.7175349,-95.3270609
137,29.7184906,-95.3265380
138,29.7218555,-95.3440679
139,29.7649296,-95.3336099
140,29.7648344,-95.3371601
141,29.7646593,-95.3376145
142,29.7648641,-95.3354716
143,29.7646813,-95.3358517
144,29.7647033,-95.3338307
145,29.7500909,-95.4636172
146,29.7323836,-95.4466478
147,29.7326780,-95.4456779
148,29.7325626,-95.4418378
149,29.7328486,-95.4360588
150,29.7342261,-95.4221584
151,29.7339318,-95.4221831
152,29.7339235,-95.4256027
153,29.7341244,-95.4273587
154,29.7407772,-95.4640972
155,29.7313599,-95.4848815
156,29.7636282,-95.4275391
157,29.7633768,-95.4274647
158,29.7425494,-95.4110283
159,29.7509232,-95.3746285
160,29.7153581,-95.4062934
161,29.7871424,-95.4567849
162,29.7604170,-95.4828772
163,29.7844570,-95.4831735
164,29.7499130,-95.4771352
165,29.7634735,-95.4713905
166,29.7639730,-95.4780526
167,29.7622499,-95.4630390
168,29.7636476,-95.4776236
169,29.7498362,-95.4827673
170,29.7625552,-95.4673509
171,29.7737989,-95.4564470
172,29.7637215,-95.3647842
173,29.7195120,-95.3992374
174,29.7197223,-95.3986956
175,29.7184028,-95.4020759
176,29.7289529,-95.3741738
177,29.7290252,-95.3745491
178,29.7163563,-95.4068171
179,29.7522315,-95.4603671
180,29.7412804,-95.4609862
181,29.7446040,-95.4610831
182,29.7438837,-95.4611167
183,29.7527775,-95.4596712
184,29.7538317,-95.4573541
185,29.7535734,-95.4581111
186,29.7506811,-95.4611504
187,29.7498994,-95.4613096
188,29.7471295,-95.4611669
189,29.7463982,-95.4611865
190,29.7405367,-95.4607963
191,29.7376679,-95.4606963
192,29.7323054,-95.4608956
193,29.7328882,-95.4604655
194,29.7175184,-95.3989676
195,29.7180538,-95.3976308
196,29.7195808,-95.3967082
197,29.7179323,-95.4032909
198,29.7169505,-95.4055467
199,29.7178131,-95.4077987
200,29.7153114,-95.4083902
201,29.7140032,-95.4072945
202,29.7148400,-95.4066118
203,29.7141360,-95.4063101
204,29.7138576,-95.4062752
205,29.7150713,-95.4052761
206,29.7176733,-95.4025796
207,29.7205228,-95.3966937
208,29.7208843,-95.3956572
209,29.7205539,-95.3941289
210,29.7193738,-95.4034791
211,29.7198678,-95.4034424
212,29.7156879,-95.3973867
213,29.7156962,-95.3976894
214,29.7341722,-95.4103671
215,29.7343248,-95.4102081
216,29.7255057,-95.4107008
217,29.7133387,-95.4062162
218,29.7064121,-95.3094305
219,29.7063153,-95.3086700
220,29.7673446,-95.2839188
221,29.7875395,-95.3404771
222,29.6029593,-95.3761533
223,29.6140508,-95.3803526
224,29.7590120,-95.3552206
225,29.7363620,-95.5388082
226,29.7678307,-95.3784900
227,29.7681635,-95.3817854
228,29.7683539,-95.3815219
229,29.7681809,-95.3798814
230,29.7686384,-95.3828327
231,29.7682335,-95.3837598
232,29.7684393,-95.3837478
233,29.7678677,-95.3770305
234,29.7677059,-95.3773267
235,29.7675768,-95.3741505
236,29.7674226,-95.3747701
237,29.7672640,-95.3730701
238,29.7670407,-95.3724891
239,29.7673206,-95.3718474
240,29.7656643,-95.3724803
241,29.7679739,-95.3826693
242,29.7699283,-95.4014833
